Project_Name,Q1_2026_2026,Q1_2026_2027,Q1_2026_2028,Q1_2026_2029,Q1_2026_2030,Q1_2026_2031,Q1_2026_2032,Q1_2026_2033,Q1_2026_2034,Q1_2026_2035,Q1_2026_2036,Q1_2026_2037,Q4_2025_2026,Q4_2025_2027,Q4_2025_2028,Q4_2025_2029,Q4_2025_2030,Q4_2025_2031,Q4_2025_2032,Q4_2025_2033,Q4_2025_2034,Q4_2025_2035,Q4_2025_2036,Q4_2025_2037,Change_2026,Change_2027,Change_2028,Change_2029,Change_2030,Change_2031,Change_2032,Change_2033,Change_2034,Change_2035,Change_2036,Change_2037
REDACTED,72,128,182,182,182,182,182,182,182,182,182,182,95,182,182,182,182,182,182,182,182,182,182,182,-23,-54,0,0,0,0,0,0,0,0,0,0
REDACTED,0,0,0,144,216,216,216,216,216,216,216,216,0,0,0,36,108,180,216,216,216,216,216,216,0,0,0,108,108,36,0,0,0,0,0,0
REDACTED,90,216,216,216,216,216,216,216,216,216,216,216,12,216,216,216,216,216,216,216,216,216,216,216,78,0,0,0,0,0,0,0,0,0,0,0
REDACTED,0,0,72,216,216,216,216,216,216,216,216,216,0,0,72,216,288,360,432,432,432,432,432,432,0,0,0,0,-72,-144,-216,-216,-216,-216,-216,-216
REDACTED,0,0,45,135,225,225,225,225,225,225,225,225,0,0,0,45,135,225,225,225,225,225,225,225,0,0,45,90,90,0,0,0,0,0,0,0
REDACTED,0,0,0,0,10,107,233,233,233,233,233,233,0,0,10,107,228,228,228,228,228,228,228,228,0,0,-10,-107,-218,-121,5,5,5,5,5,5
REDACTED,0,0,0,10,150,230,230,230,230,230,230,230,0,192,230,230,230,230,230,230,230,230,230,230,0,-192,-230,-220,-80,0,0,0,0,0,0,0
REDACTED,0,0,0,288,360,360,360,360,360,360,360,360,0,0,0,39,63,115,167,208,243,243,243,243,0,0,0,249,297,245,193,152,117,117,117,117
REDACTED,0,0,100,200,300,300,300,300,300,300,300,300,0,0,0,100,200,300,300,300,300,300,300,300,0,0,100,100,100,0,0,0,0,0,0,0
REDACTED,0,216,324,405,405,405,405,405,405,405,405,405,0,0,0,216,324,405,405,405,405,405,405,405,0,216,324,189,81,0,0,0,0,0,0,0
REDACTED,0,0,55,154,229,328,432,432,432,432,432,432,0,0,0,550,154,229,328,432,432,432,432,432,0,0,55,-396,76,99,104,0,0,0,0,0
REDACTED,0,0,184,253,502,502,502,502,502,502,502,502,0,0,0,184,253,502,502,502,502,502,502,502,0,0,184,69,249,0,0,0,0,0,0,0
REDACTED,53,485,523,523,523,523,523,523,523,523,523,523,63,504,523,577,577,577,577,577,577,577,577,577,-10,-19,0,-54,-54,-54,-54,-54,-54,-54,-54,-54
REDACTED,0,0,1,50,250,450,650,693,693,693,693,693,0,0,0,1,50,250,450,650,693,693,693,693,0,0,1,49,200,200,200,43,0,0,0,0
REDACTED,0,0,0,860,860,860,860,860,860,860,860,750,0,250,350,450,600,750,750,750,750,750,750,750,0,-250,-350,410,260,110,110,110,110,110,110,0
REDACTED,0,0,0,0,400,900,1300,1600,1600,1600,1600,1600,0,0,0,6,195,390,585,780,780,780,780,780,0,0,0,-6,205,510,715,820,820,820,820,820
REDACTED,0,0,0,840,840,840,840,840,840,840,840,840,0,10,30,120,360,600,840,840,840,840,840,840,0,-10,-30,720,480,240,0,0,0,0,0,0
REDACTED,0,200,200,200,200,200,200,200,200,200,200,200,0,150,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,0,50,-1200,-1200,-1200,-1200,-1200,-1200,-1200,-1200,-1200,-1200
REDACTED,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,0,0,0,0,1600,1600,1600,1600,1600,1600,1600,1600,0,0,0,0,-1600,-1600,-200,-200,-200,-200,-200,-200
REDACTED,0,0,1200,1500,2800,3210,3210,3210,3210,3210,3210,3210,0,0,1200,1400,1500,2000,3255,3255,3255,3255,3255,3255,0,0,0,100,1300,1210,-45,-45,-45,-45,-45,-45
REDACTED,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,0,0,0,100,1600,2500,3255,3255,3255,3255,3255,3255,0,0,1400,1300,-200,-1100,-1855,-1855,-1855,-1855,-1855,-1855
