Project_Name,City,County,GPS_Coordinates,Facility_Type,Segment,Territory,Project_Stage,Announced_Load_MW,Initial_In_Service_Date,Load_2026,Load_2027,Load_2028,Load_2029,Load_2030,Load_2031,Load_2032,Load_2033,Load_2034,Load_2035,Load_2036,Load_2037,New_Project,Change_Announced_Load,Change_Load_Ramp,Change_Project_Stage,Change_Initial_Service_Date
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Contract for Electric Service,1429,Q2 2024,768,1146,1290,1429,1429,1429,1429,1429,1429,1429,1429,1429,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,1400,Q2 2028,0,90,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,1400,Q4 2027,0,350,350,1400,1400,1400,1400,1400,1400,1400,1400,1400,,,, Y,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,901,Q4 2027,0,120,342,588,823,901,901,901,901,901,901,901,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,800,Q1 2027,0,600,800,800,800,800,800,800,800,800,800,800,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Contract for Electric Service,523,Q2 2026,53,485,523,523,523,523,523,523,523,523,523,523,,Y,Y,Y,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,324,Q2 2026,94,159,213,256,324,324,324,324,324,324,324,324,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,311,Q1 2026,6,104,208,311,311,311,311,311,311,311,311,311,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,240,Q1 2025,50,96,155,214,240,240,240,240,240,240,240,240,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Contract for Electric Service,240,Q4 2025,155,240,240,240,240,240,240,240,240,240,240,240,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,216,Q1 2028,0,0,72,216,216,216,216,216,216,216,216,216,,,Y,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,216,Q3 2025,90,216,216,216,216,216,216,216,216,216,216,216,,,Y,,
REDACTED,REDACTED,REDACTED,REDACTED,Industrial,Clean Energy Tech,Outside,Contract for Electric Service,207,Q4 2025,132,148,184,196,207,207,207,207,207,207,207,207,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Contract for Electric Service,192,Q1 2024,50,96,155,192,192,192,192,192,192,192,192,192,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,182,Q2 2026,72,128,182,182,182,182,182,182,182,182,182,182,,,Y,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Contract for Electric Service,180,Q1 2026,40,110,175,180,180,180,180,180,180,180,180,180,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,180,Q4 2026,15,72,165,180,180,180,180,180,180,180,180,180,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,150,Q4 2024,150,150,150,150,150,150,150,150,150,150,150,150,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,145,Q4 2028,0,0,97,104,145,145,145,145,145,145,145,145,,,,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Industrial,Clean Energy Tech,Inside,Contract for Electric Service,126,Q4 2025,87,95,106,115,126,126,126,126,126,126,126,126,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Contract for Electric Service,120,Q3 2026,60,120,120,120,120,120,120,120,120,120,120,120,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Industrial,Clean Energy Tech,Inside,Contract for Electric Service,90,Q4 2025,90,90,90,90,90,90,90,90,90,90,90,90,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Request for Service,693,Q2 2028,0,0,1,50,250,450,650,693,693,693,693,693,,,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Request for Service,502,Q2 2028,0,0,184,253,502,502,502,502,502,502,502,502,,,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Request for Service,432,Q2 2028,0,0,55,154,229,328,432,432,432,432,432,432,,,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Request for Service,300,Q2 2028,0,0,100,200,300,300,300,300,300,300,300,300,,,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Request for Service,233,Q2 2030,0,0,0,0,10,107,233,233,233,233,233,233,,Y,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Request for Service,225,Q2 2028,0,0,45,135,225,225,225,225,225,225,225,225,,,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Request for Service,216,Q2 2030,0,0,0,0,72,144,216,216,216,216,216,216,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Industrial,Manufacturing,Inside,Request for Service,105,Q4 2027,0,5,91,105,105,105,105,105,105,105,105,105,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Industrial,Manufacturing,Outside,Request for Service,79,Q4 2027,0,26,47,47,64,64,79,79,79,79,79,79,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,3500,Q2 2031,0,0,0,0,0,2187,3281,3500,3500,3500,3500,3500,Y,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,3210,Q2 2028,0,0,1200,1500,2800,3210,3210,3210,3210,3210,3210,3210,,Y,Y,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,3000,Q4 2027,0,5,380,760,1140,1500,1880,2260,2640,3000,3000,3000,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,2000,Q2 2028,0,0,400,800,1200,1600,2000,2000,2000,2000,2000,2000,Y,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,2000,Q2 2028,0,0,250,500,750,1000,1250,1500,1750,2000,2000,2000,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,2000,Q2 2028,0,0,1000,2000,2000,2000,2000,2000,2000,2000,2000,2000,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,1600,Q2 2030,0,0,0,0,400,900,1300,1600,1600,1600,1600,1600,,Y,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,1500,Q4 2027,0,10,505,755,1005,1255,1500,1500,1500,1500,1500,1500,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,1463,Q4 2027,0,675,1463,1463,1463,1463,1463,1463,1463,1463,1463,1463,,,,,
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Outside,Technical Review,1400,Q2 2032,0,0,0,0,0,0,1400,1400,1400,1400,1400,1400,,Y,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,1400,Q2 2028,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,,Y,Y,,Y
REDACTED,REDACTED,REDACTED,REDACTED,Commercial,Data Center/Crypto,Inside,Technical Review,1200,Q2 2028,0,0,600,900,1200,1200,1200,1200,1200,1200,1200,1200,Y,,,,
