Project_Name,Q1_2026_Service_Date,Q4_2025_Service_Date,Change_Months
REDACTED,Q2 2032,Q2 2030,+24
REDACTED,Q2 2030,Q2 2028,+24
REDACTED,Q2 2029,Q4 2027,+18
REDACTED,Q2 2029,Q4 2027,+18
REDACTED,Q2 2029,Q4 2027,+18
REDACTED,Q2 2030,Q2 2029,+12
REDACTED,Q4 2028,Q4 2027,+12
REDACTED,Q2 2029,Q3 2029,-3
REDACTED,Q2 2029,Q3 2029,-3
REDACTED,Q2 2029,Q4 2029,-6
REDACTED,Q2 2029,Q4 2029,-6
REDACTED,Q2 2028,Q2 2029,-12
REDACTED,Q2 2028,Q2 2029,-12
REDACTED,Q2 2028,Q2 2029,-12
REDACTED,Q2 2028,Q3 2029,-15
REDACTED,Q2 2028,Q3 2029,-15
REDACTED,Q2 2028,Q3 2029,-15
REDACTED,Q4 2027,Q2 2029,-18
