proj_id,report_quarter,quarter_first_seen,project_age,match_confidence,segment,class_type,territory,project_stage,announced_load_mw,initial_service_date,new_project,change_announced_load,change_load_ramp,change_project_stage,change_initial_service_date,load_2023,load_2024,load_2025,load_2026,load_2027,load_2028,load_2029,load_2030,load_2031,load_2032,load_2033,load_2034,load_2035,load_2036,load_2037
P0001,2024Q1,2024Q1,1,seed,,,Inside,Request for Service,110,Q2 2025,,Y,Y,,Y,0.0,0.0,70.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
P0001,2024Q2,2024Q1,2,exact_noseg,manufacturing,Industrial,Inside,Request for Service,105,Q2 2025,,Y,Y,,,0.0,0.0,5.0,91.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0,105.0
P0001,2024Q3,2024Q1,3,ramp_0.95,manufacturing,Industrial,Inside,Technical Review,100,Q4 2025,Y,,,,,0.0,0.0,10.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P0001,2024Q4,2024Q1,4,exact,manufacturing,Industrial,Inside,Technical Review,100,Q4 2025,,,,,,0.0,0.0,10.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
P0001,2025Q1,2024Q1,5,exact_noseg,manufacturing,Industrial,Inside,Technical Review,80,Q4 2025,,,Y,,,0.0,0.0,5.0,5.0,40.0,40.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
P0001,2025Q2,2024Q1,6,ramp_0.87,clean energy tech,Industrial,Inside,Technical Review,88,Q3 2026,Y,,,,,0.0,0.0,0.0,0.0,22.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
P0001,2025Q3,2024Q1,7,exact,clean energy tech,Industrial,Inside,Technical Review,88,Q2 2027,,,,,,0.0,0.0,0.0,0.0,22.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
P0002,2024Q1,2024Q1,1,seed,,,Outside,Request for Service,52,Q2 2025,Y,,,,,0.0,0.0,16.0,25.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
P0002,2024Q2,2024Q1,2,ramp_1.00,manufacturing,Industrial,Outside,Contract for Electric Service,52,Q2 2024,,,Y,Y,Y,0.0,16.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
P0003,2024Q1,2024Q1,1,seed,,,Inside,Request for Service,720,Q2 2027,,,Y,Y,Y,0.0,0.0,0.0,0.0,70.0,285.0,510.0,695.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
P0003,2024Q2,2024Q1,2,exact_noseg,data center,Commercial,Inside,Request for Service,720,Q2 2027,,,Y,,,0.0,0.0,0.0,0.0,90.0,285.0,510.0,695.0,720.0,720.0,720.0,720.0,720.0,720.0,720.0
P0003,2024Q3,2024Q1,3,exact,data center,Commercial,Inside,Request for Service,901,Q2 2027,,Y,Y,,,0.0,0.0,0.0,0.0,120.0,342.0,588.0,823.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
P0003,2024Q4,2024Q1,4,exact,data center,Commercial,Inside,Request for Service,901,Q2 2027,,,,,,0.0,0.0,0.0,0.0,120.0,342.0,588.0,823.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
P0003,2025Q1,2024Q1,5,exact,data center,Commercial,Inside,Request for Service,901,Q2 2027,,,,,,0.0,0.0,0.0,0.0,120.0,342.0,588.0,823.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
P0003,2025Q2,2024Q1,6,exact,data center,Commercial,Inside,Request for Service,901,Q2 2027,,,,,,0.0,0.0,0.0,0.0,120.0,342.0,588.0,823.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
P0003,2025Q3,2024Q1,7,ramp_1.00,data center,Commercial,Inside,Contract for Electric Service,901,Q4 2027,,,,,,0.0,0.0,0.0,0.0,120.0,342.0,588.0,823.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
P0003,2025Q4,2024Q1,8,exact,data center,Commercial,Inside,Contract for Electric Service,901,Q4 2027,,,,,,,,0.0,0.0,120.0,342.0,588.0,823.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
P0003,2026Q1,2024Q1,9,exact,data center,Commercial,Inside,Contract for Electric Service,901,Q4 2027,,,,,,,,,0.0,120.0,342.0,588.0,823.0,901.0,901.0,901.0,901.0,901.0,901.0,901.0
P0004,2024Q1,2024Q1,1,seed,,,Outside,Request for Service,180,Q3 2025,,,Y,,,0.0,0.0,40.0,110.0,175.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
P0005,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,983,Q2 2024,Y,,,,,0.0,78.0,480.0,650.0,820.0,983.0,983.0,983.0,983.0,983.0,983.0,983.0,983.0,983.0,983.0
P0005,2024Q2,2024Q1,2,ramp_0.72,data center,Commercial,Inside,Technical Review,780,Q2 2026,Y,,,,,0.0,0.0,0.0,15.0,195.0,390.0,585.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0
P0005,2024Q3,2024Q1,3,ramp_0.91,data center,Commercial,Inside,Technical Review,725,Q1 2025,Y,,,,,0.0,0.0,5.0,77.0,245.0,365.0,485.0,605.0,725.0,725.0,725.0,725.0,725.0,725.0,725.0
P0005,2024Q4,2024Q1,4,ramp_0.76,data center,Commercial,Inside,Technical Review,1000,Q2 2026,,,,,,0.0,0.0,0.0,200.0,350.0,500.0,600.0,700.0,800.0,900.0,1000.0,1000.0,1000.0,1000.0,1000.0
P0006,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,1110,Q2 2026,Y,,,,,0.0,0.0,0.0,3.0,58.0,376.0,702.0,1041.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0,1110.0
P0006,2024Q2,2024Q1,2,ramp_0.83,data center,Commercial,Inside,Request for Service,693,Q4 2025,,Y,Y,Y,Y,0.0,0.0,2.0,10.0,87.0,173.0,260.0,347.0,433.0,520.0,606.0,693.0,693.0,693.0,693.0
P0006,2024Q3,2024Q1,3,ramp_0.72,data center,Commercial,Inside,Technical Review,780,Q1 2026,,,,,Y,0.0,0.0,0.0,15.0,195.0,390.0,585.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0,780.0
P0006,2024Q4,2024Q1,4,exact,data center,Commercial,Inside,Technical Review,450,Q1 2026,,Y,Y,,,0.0,0.0,0.0,15.0,195.0,390.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0,450.0
P0006,2025Q1,2024Q1,5,ramp_0.80,data center,Commercial,Inside,Technical Review,651,Q2 2027,,,,,Y,0.0,0.0,0.0,0.0,74.0,149.0,223.0,307.0,419.0,530.0,642.0,651.0,651.0,651.0,651.0
P0006,2025Q2,2024Q1,6,exact,data center,Commercial,Inside,Technical Review,651,Q2 2027,,,,,,0.0,0.0,0.0,0.0,74.0,149.0,223.0,307.0,419.0,530.0,642.0,651.0,651.0,651.0,651.0
P0006,2025Q3,2024Q1,7,exact,data center,Commercial,Inside,Technical Review,651,Q2 2027,,,,,,0.0,0.0,0.0,0.0,150.0,400.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0
P0006,2025Q4,2024Q1,8,ramp_1.00,data center,Commercial,Inside,Technical Review,651,Q4 2027,,,,,Y,,,0.0,0.0,150.0,400.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0
P0006,2026Q1,2024Q1,9,exact,data center,Commercial,Inside,Technical Review,651,Q4 2027,,,,,,,,,0.0,150.0,400.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0,651.0
P0007,2024Q1,2024Q1,1,seed,,,Outside,Technical Review,150,Q2 2025,Y,,,,,0.0,0.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0,150.0
P0008,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,200,Q2 2025,Y,,,,,0.0,0.0,40.0,80.0,120.0,160.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
P0009,2024Q1,2024Q1,1,seed,,,Inside,Technical Review,245,Q2 2025,Y,,,,,0.0,0.0,5.0,65.0,125.0,185.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0
P0009,2024Q2,2024Q1,2,ramp_1.00,data center,Commercial,Inside,Technical Review,365,Q4 2025,,Y,Y,,Y,0.0,0.0,5.0,125.0,245.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
P0009,2024Q3,2024Q1,3,ramp_1.00,data center,Commercial,Inside,Technical Review,365,Q2 2025,,,,,Y,0.0,0.0,5.0,125.0,245.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0,365.0
