report_quarter,project_stage,planning_year,load_mw
2024Q1,Contract for Electric Service,2023,10.0
2024Q1,Contract for Electric Service,2024,195.0
2024Q1,Contract for Electric Service,2025,674.0
2024Q1,Contract for Electric Service,2026,1161.0
2024Q1,Contract for Electric Service,2027,1449.0
2024Q1,Contract for Electric Service,2028,1701.0
2024Q1,Contract for Electric Service,2029,1905.0
2024Q1,Contract for Electric Service,2030,2124.0
2024Q1,Contract for Electric Service,2031,2287.0
2024Q1,Contract for Electric Service,2032,2370.0
2024Q1,Contract for Electric Service,2033,2442.0
2024Q1,Contract for Electric Service,2034,2514.0
2024Q1,Contract for Electric Service,2035,2581.0
2024Q1,Contract for Electric Service,2036,2613.0
2024Q1,Contract for Electric Service,2037,2834.0
2024Q1,Request for Service,2023,0.0
2024Q1,Request for Service,2024,124.0
2024Q1,Request for Service,2025,455.0
2024Q1,Request for Service,2026,1064.0
2024Q1,Request for Service,2027,1683.0
2024Q1,Request for Service,2028,2388.0
2024Q1,Request for Service,2029,2878.0
2024Q1,Request for Service,2030,3135.0
2024Q1,Request for Service,2031,3238.0
2024Q1,Request for Service,2032,3292.0
2024Q1,Request for Service,2033,3331.0
2024Q1,Request for Service,2034,3353.0
2024Q1,Request for Service,2035,3353.0
2024Q1,Request for Service,2036,3353.0
2024Q1,Request for Service,2037,3353.0
2024Q1,Technical Review,2023,0.0
2024Q1,Technical Review,2024,124.0
2024Q1,Technical Review,2025,1185.0
2024Q1,Technical Review,2026,3862.0
2024Q1,Technical Review,2027,5820.0
2024Q1,Technical Review,2028,8397.0
2024Q1,Technical Review,2029,9953.0
2024Q1,Technical Review,2030,11260.0
2024Q1,Technical Review,2031,12870.0
2024Q1,Technical Review,2032,13035.0
2024Q1,Technical Review,2033,13180.0
2024Q1,Technical Review,2034,13293.0
2024Q1,Technical Review,2035,13393.0
2024Q1,Technical Review,2036,13393.0
2024Q1,Technical Review,2037,13393.0
2024Q2,Contract for Electric Service,2023,10.0
2024Q2,Contract for Electric Service,2024,227.0
2024Q2,Contract for Electric Service,2025,800.0
2024Q2,Contract for Electric Service,2026,1517.0
2024Q2,Contract for Electric Service,2027,1991.0
2024Q2,Contract for Electric Service,2028,2506.0
2024Q2,Contract for Electric Service,2029,3091.0
2024Q2,Contract for Electric Service,2030,3376.0
2024Q2,Contract for Electric Service,2031,3446.0
2024Q2,Contract for Electric Service,2032,3446.0
2024Q2,Contract for Electric Service,2033,3446.0
2024Q2,Contract for Electric Service,2034,3446.0
2024Q2,Contract for Electric Service,2035,3446.0
2024Q2,Contract for Electric Service,2036,3446.0
2024Q2,Contract for Electric Service,2037,3446.0
2024Q2,Request for Service,2023,0.0
2024Q2,Request for Service,2024,61.0
2024Q2,Request for Service,2025,162.0
2024Q2,Request for Service,2026,592.0
2024Q2,Request for Service,2027,1279.0
2024Q2,Request for Service,2028,2062.0
2024Q2,Request for Service,2029,2716.0
2024Q2,Request for Service,2030,3227.0
2024Q2,Request for Service,2031,3431.0
2024Q2,Request for Service,2032,3572.0
2024Q2,Request for Service,2033,3697.0
2024Q2,Request for Service,2034,3806.0
2024Q2,Request for Service,2035,3806.0
2024Q2,Request for Service,2036,3806.0
2024Q2,Request for Service,2037,3806.0
2024Q2,Technical Review,2023,0.0
2024Q2,Technical Review,2024,40.0
2024Q2,Technical Review,2025,326.0
2024Q2,Technical Review,2026,2614.0
2024Q2,Technical Review,2027,6070.0
2024Q2,Technical Review,2028,9283.0
2024Q2,Technical Review,2029,11358.0
2024Q2,Technical Review,2030,12658.0
2024Q2,Technical Review,2031,14507.0
2024Q2,Technical Review,2032,14837.0
2024Q2,Technical Review,2033,15136.0
2024Q2,Technical Review,2034,15291.0
2024Q2,Technical Review,2035,15436.0
2024Q2,Technical Review,2036,15478.0
2024Q2,Technical Review,2037,15511.0
2024Q3,Contract for Electric Service,2023,11.0
2024Q3,Contract for Electric Service,2024,196.0
2024Q3,Contract for Electric Service,2025,773.0
2024Q3,Contract for Electric Service,2026,1693.0
2024Q3,Contract for Electric Service,2027,2335.0
2024Q3,Contract for Electric Service,2028,2841.0
2024Q3,Contract for Electric Service,2029,3400.0
2024Q3,Contract for Electric Service,2030,3571.0
2024Q3,Contract for Electric Service,2031,3571.0
2024Q3,Contract for Electric Service,2032,3571.0
2024Q3,Contract for Electric Service,2033,3571.0
2024Q3,Contract for Electric Service,2034,3571.0
2024Q3,Contract for Electric Service,2035,3571.0
2024Q3,Contract for Electric Service,2036,3571.0
2024Q3,Contract for Electric Service,2037,3571.0
2024Q3,Request for Service,2023,0.0
2024Q3,Request for Service,2024,61.0
2024Q3,Request for Service,2025,109.0
2024Q3,Request for Service,2026,261.0
2024Q3,Request for Service,2027,857.0
2024Q3,Request for Service,2028,2037.0
2024Q3,Request for Service,2029,2908.0
2024Q3,Request for Service,2030,3411.0
2024Q3,Request for Service,2031,3761.0
2024Q3,Request for Service,2032,4097.0
2024Q3,Request for Service,2033,4294.0
2024Q3,Request for Service,2034,4475.0
2024Q3,Request for Service,2035,4475.0
2024Q3,Request for Service,2036,4475.0
2024Q3,Request for Service,2037,4475.0
2024Q3,Technical Review,2023,0.0
2024Q3,Technical Review,2024,37.0
2024Q3,Technical Review,2025,168.0
2024Q3,Technical Review,2026,3362.0
2024Q3,Technical Review,2027,9262.0
2024Q3,Technical Review,2028,14997.0
2024Q3,Technical Review,2029,19498.0
2024Q3,Technical Review,2030,23238.0
2024Q3,Technical Review,2031,24920.0
2024Q3,Technical Review,2032,25699.0
2024Q3,Technical Review,2033,26263.0
2024Q3,Technical Review,2034,26383.0
2024Q3,Technical Review,2035,26511.0
2024Q3,Technical Review,2036,26553.0
2024Q3,Technical Review,2037,26586.0
2024Q4,Contract for Electric Service,2023,10.0
2024Q4,Contract for Electric Service,2024,196.0
2024Q4,Contract for Electric Service,2025,771.0
2024Q4,Contract for Electric Service,2026,1748.0
2024Q4,Contract for Electric Service,2027,2407.0
2024Q4,Contract for Electric Service,2028,3053.0
2024Q4,Contract for Electric Service,2029,3810.0
2024Q4,Contract for Electric Service,2030,4027.0
2024Q4,Contract for Electric Service,2031,4027.0
2024Q4,Contract for Electric Service,2032,4099.0
2024Q4,Contract for Electric Service,2033,4171.0
2024Q4,Contract for Electric Service,2034,4243.0
